Name,Country,sex,tour,sl,tr,ju,yob,class,round,date,site id
 , , , , , , , , , , , 
KASHITSINA Olga,RUS,F,07TUR01,50.0,0.0,0.0,72.0,L,1.0,07/08/2007,TURNICEA
 , , , , , , , , , , , 
KASHITSINA Olga,RUS,F,07TUR01,42.5,0.0,0.0,72.0,L,2.0,07/08/2007,TURNICEA
 , , , , , , , , , , , 
KASHITSINA Olga,RUS,F,07TUR01,50.0,0.0,0.0,72.0,L,3.0,07/08/2007,TURNICEA
 , , , , , , , , , , , 
KASHITSINA Olga,RUS,F,07RUS01,0.0,0.0,45.1,72.0,R,1.0,07/28/2007,DUBNA
 , , , , , , , , , , , 
KASHITSINA Olga,RUS,F,07RUS01,0.0,3520.0,0.0,72.0,R,1.0,07/28/2007,DUBNA
 , , , , , , , , , , , 
KASHITSINA Olga,RUS,F,07WWW01,0.0,0.0,46.1,72.0,R,1.0,09/02/2007,AUTTMYCN
 , , , , , , , , , , , 
KASHITSINA Olga,RUS,F,07WWW01,0.0,6280.0,0.0,72.0,R,1.0,09/02/2007,AUTTMYCN
 , , , , , , , , , , , 
KASHITSINA Olga,RUS,F,07WWW01,51.0,0.0,0.0,72.0,R,1.0,09/02/2007,AUTTMYCN
KASHITSINA Olga,RUS,F,07WWW01,51.0,6280.0,46.1,72.0,R,1.0,09/02/2007,AUTTMYCN
 , , , , , , , , , , , 
KASHITSINA Olga,RUS,F,07WWW01,0.0,6280.0,0.0,72.0,R,2.0,09/02/2007,AUTTMYCN
 , , , , , , , , , , , 
KASHITSINA Olga,RUS,F,07EAME03,0.0,0.0,44.2,72.0,R,1.0,09/19/2007,ITAFISN1
 , , , , , , , , , , , 
KASHITSINA Olga,RUS,F,07EAME03,0.0,5990.0,0.0,72.0,R,1.0,09/19/2007,ITAFISN1
 , , , , , , , , , , , 
KASHITSINA Olga,RUS,F,07EAME03,50.0,0.0,0.0,72.0,R,1.0,09/19/2007,ITAFISN1
KASHITSINA Olga,RUS,F,07EAME03,50.0,5990.0,44.2,72.0,R,1.0,09/19/2007,ITAFISN1
 , , , , , , , , , , , 
KASHITSINA Olga,RUS,F,07EAME04,0.0,0.0,45.1,72.0,R,1.0,09/23/2007,ITAFISN1
 , , , , , , , , , , , 
KASHITSINA Olga,RUS,F,07EAME04,0.0,6790.0,0.0,72.0,R,1.0,09/23/2007,ITAFISN1
 , , , , , , , , , , , 
KASHITSINA Olga,RUS,F,07EAME04,45.5,0.0,0.0,72.0,R,1.0,09/23/2007,ITAFISN1
KASHITSINA Olga,RUS,F,07EAME04,45.5,6790.0,45.1,72.0,R,1.0,09/23/2007,ITAFISN1
 , , , , , , , , , , , 
KASHITSINA Olga,RUS,F,07EAME04,0.0,6030.0,0.0,72.0,R,2.0,09/23/2007,ITAFISN1
